Field=#~Integer~#~50|Field=Designator~String~Designator~293|Field=Comment~String~Comment~71|Field=Description~String~Description~728|Field=Quantity~Integer~Quantity~79|Field=Footprint~String~Footprint~364|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MercurialSDR.PrjPcb|ReportField=ProjectFullPath~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR.PrjPcb|ReportField=Title~Bill of Materials For Project [MercurialSDR.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~134|ReportField=ReportTime~9:52:49 AM|ReportField=ReportDate~5/1/2020|ReportField=ReportDateTime~5/1/2020 9:52:49 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Andres Hojnadel|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~5/1/2020|ReportField=CurrentTime~9:44:08 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR_BLK.SchDoc|ReportField=DocumentName~MercurialSDR_BLK.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Andres Hojnadel|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/21/2020|ReportField=Organization~|ReportField=ProjectName~MercurialSDR.PrjPcb|ReportField=Revision~Rev2.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~MercurialSDR - Block Diagram|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MercurialSDR.PrjPcb|ReportField=DataSourceFullPath~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
65|IC1|AD5061BRJZ-2REEL7|DAC SPI|1|SOT-23-8
66|IC2|MCP6271T-E/OT|Operational Amplifier|1|SOT-23-5
67|IC3|LE25U20AMB|Flash Memmory SPI (256Kx8)|1|SOIC-8
68|IC4|FT2232HL-TRAY|USB bridge|1|LQFP_64
69|IC5|93LC56BT|EEPROM SPI 2kb (128x16)|1|SOIC-8
70|IC6|BC846BDW1T1G|TBJ NPN Dual|1|TSSOP-6
71|IC7|BC846BDW1T1G|TBJ NPN Dual|1|TSSOP-6
72|IC8|MCP1541T-I/TT|Reference Voltage|1|SOT-23-3
73|IC9|AP7215 - AP7365-33YG-13|Linear Voltage Regulator 3v3|1|SOT89-3L
74|IC10|AP7217D - AP7217D-12YG-13|Linear Voltage Regulator 1V2|1|SOT89-3L
75|JP1|Jumper|Jumper 2x2|1|Jumper 2x2
76|JP2|Jumper|Jumper|1|Jumper 2x1
77|OSC1|DSC6003JI2A-012.0000T|Oscilador de 4 terminales|1|VFLGA_2.5x2.0
78|R1|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
79|R2|1k 1% 1/10W - CR0603-FX-1001ELF|Resistor|1|RES_0603
80|R3|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
81|R4|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
82|R5|649 1% 1/10W - RC0603FR-07649RL|Resistor|1|RES_0603
83|R6|100 1% 1/10W - CR0603-FX-1000ELF|Resistor|1|RES_0603
84|R7|100 1% 1/10W - CR0603-FX-1000ELF|Resistor|1|RES_0603
85|R8|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
86|R9|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
87|R10|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
88|R11|1k 1% 1/10W - CR0603-FX-1001ELF|Resistor|1|RES_0603
89|R12|12k 1% 1/10W - CR0603-FX-1202ELF|Resistor|1|RES_0603
90|R13|2k2 1% 1/10W - AC0603FR-072K2L|Resistor|1|RES_0603
91|R14|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
92|R15|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
